name,url,neighborhood,cuisine,review_count,time_window
"La Folie","http://www.opentable.com/la-folie?p=4&sd=2014-11-14 19:30&rid=183&pt=100,100,100,100,100&d=,,11/14/2014 21:15:00,,11/14/2014 21:30:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Russian Hill","French","181 reviews",4:16
"Palio d'Asti","http://www.opentable.com/palio-dasti?p=4&sd=2014-11-14 19:30&rid=257&pt=100,100,100,1000,1000&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 18:30:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Financial District / Embarcadero","Italian","62 reviews",0:00
"Ideale","http://www.opentable.com/ideale?p=4&sd=2014-11-14 19:30&rid=282&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:15:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","North Beach","Italian","109 reviews",0:00
"Pier Market Seafood Restaurant - Pier 39 SF","http://www.opentable.com/pier-market-seafood-restaurant-pier-39-sf?p=4&sd=2014-11-14 19:30&rid=57232&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Fisherman's Wharf","Seafood","35 reviews",0:00
"Trattoria Contadina","http://www.opentable.com/trattoria-contadina?p=4&sd=2014-11-14 19:30&rid=914&pt=100,100,100,100,100&d=11/14/2014 19:00:00,11/14/2014 19:30:00,11/14/2014 20:00:00,11/14/2014 18:30:00,11/14/2014 20:30:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","North Beach","Italian","163 reviews",0:00
"Frascati","http://www.opentable.com/frascati?p=4&sd=2014-11-14 19:30&rid=1198&pt=100,100,100,100,100&d=11/14/2014 17:45:00,,11/14/2014 21:00:00,11/14/2014 17:30:00,11/14/2014 21:30:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Russian Hill","Mediterranean","121 reviews",3:15
"Buca di Beppo - San Francisco","http://www.opentable.com/buca-di-beppo?p=4&sd=2014-11-14 19:30&rid=1260&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","SOMA","Italian","100 reviews",0:00
"House of Prime Rib","http://www.opentable.com/house-of-prime-rib?p=4&sd=2014-11-14 19:30&rid=1779&pt=100,100,100,100,100&d=,,11/14/2014 22:00:00,,&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Civic Center / Hayes Valley / Van Ness","Steak","686 reviews",5:02
"Garibaldi's on Presidio","http://www.opentable.com/garibaldis-on-presidio?p=4&sd=2014-11-14 19:30&rid=1964&pt=100,100,100,100,100&d=11/14/2014 18:15:00,,11/14/2014 19:45:00,11/14/2014 18:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Presidio Heights","Californian","101 reviews",1:30
"Chaya Brasserie","http://www.opentable.com/chaya-brasserie?p=4&sd=2014-11-14 19:30&rid=2005&pt=100,100,100,100,100&d=11/14/2014 18:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 18:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Financial District / Embarcadero","Eurasian","176 reviews",0:00
"Aveline","http://www.opentable.com/aveline?p=4&sd=2014-11-14 19:30&rid=139744&pt=100,100,100,100,100&d=11/14/2014 19:00:00,11/14/2014 19:30:00,11/14/2014 20:00:00,11/14/2014 18:30:00,11/14/2014 20:30:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Downtown / Union Square","Contemporary American","122 reviews",0:00
"Truck","http://www.opentable.com/truck?p=4&sd=2014-11-14 19:30&rid=140548&pt=100,100,100,100,100&d=11/14/2014 18:30:00,,11/14/2014 20:30:00,11/14/2014 17:00:00,&ofbs=,,,,&dt=2014-11-14T19:30:00Z","SOMA","American","",3:31
"Annabelle's Bar & Bistro","http://www.opentable.com/annabelles-bar-and-bistro?p=4&sd=2014-11-14 19:30&rid=2391&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Downtown / Union Square","American","59 reviews",0:00
